"ID","URL","PDF","Country","Province","Date","Completion","Trial status","Design","Blinding","Arms","COVID-19 status","Patient setting","Outcome","Treatment","Size"
"CTRI/2020/05/025068","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43449",NA,"India","New Delhi","2020-Jul",NA,"Not Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Viral Load or Clearance","Ivermectin, SOC",50
"CHICTR2000030084","http://www.chictr.org.cn/showproj.aspx?proj=49952",NA,"China","Shanxi","2020-Feb","2022-Feb","Recruiting","Randomised","Unspecified",2,"Confirmed","Outpatient","Depression, Anxiety","Psychological therapy, SOC",180
"NCT04279197","https://clinicaltrials.gov/show/NCT04279197",NA,"China","Beijing","2020-Feb",NA,"Recruiting","Randomised","Double",2,"Negative(?)","Unclear","Pneumonia or ARDS, Dyspnea, 6-Minute Walking Distance, Radiographic Findings","SOC, TCM",136
"CHICTR2000030761","http://www.chictr.org.cn/showproj.aspx?proj=50956",NA,"China","Shanghai","2020-Mar","2020-Apr","Not Recruiting","Single-Arm","Unspecified",1,"Confirmed","ICU","C-Reactive Protein, IL-6, IL-8, Tumor Necrosis Factor (Any)","Other",20
"NCT04322773","https://ClinicalTrials.gov/show/NCT04322773",NA,"Denmark","Copenhagen","2020-Mar","2021-Jun","Recruiting","Randomised","Open-Label",4,"Confirmed","Hospital","Mortality, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Serious Adverse Events, C-Reactive Protein","Sarilumab, SOC, TCZ",200
"CHICTR2000029814","http://www.chictr.org.cn/showproj.aspx?proj=49387",NA,"China","Shanghai","2020-Feb","2020-Dec","Recruiting","Non-Randomised","Unspecified",2,"Confirmed","Unclear","Viral Load or Clearance, Cough, Fever, Dyspnea","SOC, TCM",30
"CHICTR2000030314","http://www.chictr.org.cn/showproj.aspx?proj=50248",NA,"China","Hubei","2020-Feb","2020-Apr","Not Recruiting","Single-Arm","Unspecified",1,"Confirmed","Unclear","Cough, Fever, Dyspnea","TCM",40
"CHICTR2000030324","http://www.chictr.org.cn/showproj.aspx?proj=50231",NA,"China","Hubei","2020-Feb","2020-May","Not Recruiting","Single-Arm","Unspecified",2,"Confirmed","Outpatient","Cough, Fever, Dyspnea","SOC, TCM",40
"NCT04346667","https://ClinicalTrials.gov/show/NCT04346667",NA,"Pakistan","Punjab","2020-Apr","2020-May","Recruiting","Randomised","Double",4,NA,"Outpatient","Clinical Improvement Score (Any), Viral Load or Clearance, Cough, Fever, Dyspnea, Adverse Events","HCQ, SOC",400
"ISRCTN86534580","http://isrctn.com/ISRCTN86534580",NA,"United Kingdom","London","2020-Mar",NA,"Recruiting","Randomised","Unspecified",2,"Suspected","Outpatient","Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","HCQ, SOC",3000
"NCT04429529","https://ClinicalTrials.gov/show/NCT04429529",NA,"Singapore","Singapore","2020-Jun","2020-Oct","Recruiting","Randomised","Double",7,"Healthy","Healthy Unexposed","Adverse Events, Radiographic Findings","Other, SOC",25
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"Ghana","Accra","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"Nigeria","Niger","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"South Africa","Pretoria","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"United Kingdom","London","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"EUCTR2020-001448-24-GB","https://www.clinicaltrialsregister.eu/ctr-search/search?query=eudract_number:2020-001448-24",NA,"India","New Delhi","2020-Apr",NA,"Not Recruiting","Randomised","Open-Label",4,"Healthy, Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Hospital Discharge, Clinical Improvement Score (Any), Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Fever, Serious or Seconday Infections, Serious Adverse Events, ALT","HCQ, LPV/r, SOC",6400
"NCT04333628","https://ClinicalTrials.gov/show/NCT04333628",NA,"Israel","Hazafon","2020-Apr","2021-Apr","Not Recruiting","Randomised","Open-Label",3,"Confirmed","Outpatient","Clinical Improvement Score (Any), Viral Load or Clearance","HCQ, SOC",210
"CTRI/2020/03/024402","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42638",NA,"India","New Delhi","2020-Mar",NA,"Not Recruiting","Randomised","Open-Label",2,NA,"Healthcare Workers","Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Other Mild Symptoms","HCQ",500
"DRKS00021300","https://www.drks.de/drks_web/navigate.do?navigationId=trial.HTML&TRIAL_ID=DRKS00021300",NA,"Germany","Baden-Wurttemberg","2020-Apr",NA,"Recruiting","Randomised","Open-Label",2,"Confirmed","Hospital","Mortality, ICU Admission, IL-6","ECMO, ECMO + Cytokine removal",30
"NL8609","https://trialregister.nl/trial/8609",NA,"Netherlands","Amsterdam","2020-Nov",NA,"Not Recruiting","Randomised","Open-Label",5,"Healthy","Healthy Unexposed","Monocyte Count","SOC, Vaccine, Vaccine + Bisphosphonate, Vaccine + Vaccine",100
"CTRI/2020/04/024833","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43105",NA,"India","New Delhi","2020-Apr",NA,"Not Recruiting","Randomised","Double",2,"Healthy (Exposed)","Healthcare Workers","Cough, Fever, Dyspnea, Antibodies, Distress","SOC, Vaccine",1826
"ISRCTN88057279","http://isrctn.com/ISRCTN88057279",NA,"United Kingdom","London","2020-May",NA,"Recruiting","Randomised","Open-Label",2,"Healthy","Hospital",NA,"HCQ, SOC",500
"CTRI/2020/05/025171","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43487",NA,"India","Delhi","2020-May",NA,"Not Recruiting","Randomised","Open-Label",2,"Healthy","Healthy Unexposed, Healthy Exposed",NA,"Alternative therapy, SOC",50000
"CTRI/2020/05/025069","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43522",NA,"India","New Delhi","2020-Jul",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Healthy","Healthy Exposed",NA,"Alternative therapy",1324
"CTRI/2020/05/025088","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43555",NA,"India","New Delhi","2020-Sep",NA,"Not Recruiting","Randomised","Open-Label",2,"Healthy","Healthy Unexposed, Healthy Exposed",NA,"Alternative therapy, SOC",1200
"CTRI/2020/05/025093","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43539",NA,"India","New Delhi","2020-Nov",NA,"Not Recruiting","Randomised","Open-Label",2,"Healthy","Healthy Unexposed, Healthy Exposed",NA,"Alternative therapy, SOC",1200
"NCT04412356","https://ClinicalTrials.gov/show/NCT04412356",NA,"Sweden","Stockholm","2020-Jun","2020-Dec","Recruiting","Randomised","Single",2,"Confirmed","Hospital","Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO, Adverse Events","Procedure",180
"CTRI/2020/05/025067","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43019",NA,"India","New Delhi","2020-Jun",NA,"Not Recruiting","Randomised","Open-Label",2,"Healthy (Exposed)","Healthcare Workers",NA,"HCQ, SOC",10990
"NCT04422275","https://ClinicalTrials.gov/show/NCT04422275",NA,"United States","Missouri","2020-Jun","2023-Jun","Not Recruiting","Randomised","Quadruple",4,"Resolved","Outpatient",NA,"Corticosteroids + Other, Other",200
"CHICTR2000029806","http://www.chictr.org.cn/showproj.aspx?proj=49161",NA,"China","Hubei","2020-Feb","2021-Jan","Recruiting","Randomised","Unspecified",3,"Confirmed","Hospital","Clinical Improvement Score (Any)","mAb, Other, SOC",120
"NCT04326075","https://clinicaltrials.gov/show/NCT04326075",NA,"Italy","Milan","2020-Mar",NA,"Not Recruiting","Randomised","Open-Label",2,"Confirmed Or Suspected","Hospital","Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO","Non-invasive respiratory support, SOC",900
"NCT04264533","https://ClinicalTrials.gov/show/NCT04264533",NA,"China","Hubei","2020-Feb","2020-Sep","Recruiting","Randomised","Triple",2,"Confirmed","ICU","Mortality, ICU Admission, Clinical Improvement Score (Any), PaO2-FiO2, Respiratory Rate, Hypoxia, Hypoxemia","SOC, Vitamins",140
"NCT04347538","https://ClinicalTrials.gov/show/NCT04347538",NA,"United States","Tennessee","2020-Apr","2021-Jun","Recruiting","Randomised","Open-Label",3,NA,"Outpatient","Clinical Improvement Score (Any), Viral Load or Clearance, Fever, Other Mild Symptoms","Hygiene, SOC",90
"NCT04269525","https://ClinicalTrials.gov/show/NCT04269525",NA,"China","Hubei","2020-Feb","2020-Dec","Recruiting","Single-Arm","Open-Label",1,"Confirmed","ICU","Mortality, Hospitalization, Viral Load or Clearance, Pneumonia or ARDS, IL-2, IL-4, IL-6, IL-7, IL-8, IL-10, Tumor Necrosis Factor (Any), White Blood Cell Count, Procalcitonin, PaO2-FiO2, Radiographic Findings","Stem cells",16
"CHICTR2000029992","http://www.chictr.org.cn/showproj.aspx?proj=49574",NA,"China","Fujian","2020-Feb","2020-May","Not Recruiting","Randomised","Open-Label",3,"Confirmed","Hospital","Hospital Discharge, Viral Load or Clearance, Fever, Serious Adverse Events, Respiratory Rate","HCQ, SOC",100
"CHICTR2000029606","http://www.chictr.org.cn/showproj.aspx?proj=49146",NA,"China","Zhejiang","2020-Feb","2022-Dec","Recruiting","Randomised","Open-Label",5,"Confirmed","Hospital","Mortality, ICU Admission, Hospitalization, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA)","SOC, TCM",63
"CHICTR2000029855","http://www.chictr.org.cn/showproj.aspx?proj=49543",NA,"China","Zhejiang","2020-Feb",NA,"Recruiting","Randomised","Unspecified",3,"Confirmed","Outpatient","Clinical Improvement Score (Any), Viral Load or Clearance, Fever","SOC, TCM",180
"NCT04286503","https://ClinicalTrials.gov/show/NCT04286503",NA,"China","Beijing","2020-Feb","2021-Feb","Not Recruiting","Randomised","Open-Label",3,"Confirmed","Outpatient, Hospital, ICU","Viral Load or Clearance, Fever, Radiographic Findings","Carrimycin, HCQ or LPV/r or Umifenovir",520
"CHICTR2000029867","http://www.chictr.org.cn/showproj.aspx?proj=49514",NA,"China","Beijing","2020-Feb","2021-Feb","Recruiting","Randomised","Open-Label",2,"Confirmed","Outpatient, Hospital, ICU","Viral Load or Clearance, Fever","Carrimycin, LPV/r",520
"NCT04323228","https://ClinicalTrials.gov/show/NCT04323228",NA,"Saudi Arabia","Riyadh","2020-Mar","2020-Oct","Not Recruiting","Randomised","Double",2,"Confirmed","Hospital","Non-invasive Ventilation, Fever, C-Reactive Protein, Ferritin, IL-6, Tumor Necrosis Factor (Any), MCP-1, White Blood Cell Count, Neutrophils, Weight, Height or BMI","Nutrition, SOC",30
"CTRI/2020/04/024749","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42972",NA,"India","New Delhi","2020-Apr",NA,"Recruiting","Randomised","Double",2,"Healthy","Healthy Unexposed, Healthy Exposed, Healthcare Workers",NA,"SOC, Vaccine",5946
"CTRI/2020/05/025166","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43553",NA,"India","New Delhi","2020-May",NA,"Not Recruiting","Randomised","Open-Label",2,"Healthy","Healthy Unexposed",NA,"Alternative therapy, SOC",1200
"PACTR202004893013257","https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=10981",NA,"Ghana","Accra","2020-Apr",NA,"Not Recruiting","Randomised","Unspecified",4,"Healthy","Hospital","Mortality, Pneumonia or ARDS, Distress","HCQ, HCQ + LPV/r, LPV/r, SOC",6400
"NCT04326790","https://ClinicalTrials.gov/show/NCT04326790",NA,"Gibraltar","Gibraltar","2020-Mar","2020-Aug","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Clinical Improvement Score (Any), C-Reactive Protein, Troponin","Colchicine, SOC",180
"NCT04425837","https://ClinicalTrials.gov/show/NCT04425837",NA,"Colombia","Cundinamarca","2020-Jun","2021-Feb","Not Recruiting","Randomised","Single",2,"Confirmed","Hospital, ICU","Mortality, ICU Admission, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Adverse Events, C-Reactive Protein, Ferritin, Lymphocyte Count, D-Dimer, Troponin, Procalcitonin, LDH, PaO2-FiO2","Plasma based therapy, SOC",236
"CHICTR2000030923","http://www.chictr.org.cn/showproj.aspx?proj=51139",NA,"China","Shaanxi","2020-Mar","2020-Apr","Recruiting","Randomised","Open-Label",4,"Confirmed Or Suspected","Unclear","Clinical Improvement Score (Any), Viral Load or Clearance","SOC, TCM",400
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","California","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","Florida","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","Georgia","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","Louisiana","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","New Jersey","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","Oklahoma","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04313023","https://ClinicalTrials.gov/show/NCT04313023",NA,"United States","Texas","2020-Mar","2020-Sep","Recruiting","Randomised","Quadruple",2,"Healthy (Exposed)","Healthy Exposed","Mortality, ICU Admission, Clinical Improvement Score (Any), Non-invasive Ventilation","Other, SOC",200
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Italy","Verona","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Italy","Bologna","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Italy","Rome","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Italy","Turin","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Spain","Barcelona","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04438850","https://ClinicalTrials.gov/show/NCT04438850",NA,"Spain","Madrid","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",3,"Confirmed","Healthcare Workers, Outpatient, Unclear","Hospitalization, Viral Load or Clearance","Ivermectin, SOC",102
"NCT04392453","https://clinicaltrials.gov/show/NCT04392453",NA,"Italy","Milano","2020-May",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Healthy","Hospital",NA,"Device",40
"IRCT20200418047121N2","http://en.irct.ir/trial/47275",NA,"Iran","Tehran","2020-May","2020-Sep","Recruiting","Non-Randomised","Double",2,"Confirmed","Hospital, Unclear","Radiographic Findings","SOC, Stem cells",6
"NCT04333550","https://ClinicalTrials.gov/show/NCT04333550",NA,"Iran","Kermanshah","2020-Apr","2020-Sep","Recruiting","Randomised","Double",2,"Confirmed","Hospital, Unclear","Mortality, ICU Admission, Hospitalization, Clinical Improvement Score (Any), C-Reactive Protein, PaO2-FiO2","Other, SOC",50
"NCT04359862","https://ClinicalTrials.gov/show/NCT04359862",NA,"Spain","Madrid","2020-Apr","2020-Aug","Recruiting","Randomised","Open-Label",2,NA,"Hospital, Unclear","Mortality, IL-1, IL-6, IL-8, Tumor Necrosis Factor (Any), PaO2-FiO2","Anesthetic",50
"NCT04359862","https://ClinicalTrials.gov/show/NCT04359862",NA,"Spain","Valencia","2020-Apr","2020-Aug","Recruiting","Randomised","Open-Label",2,NA,"Hospital, Unclear","Mortality, IL-1, IL-6, IL-8, Tumor Necrosis Factor (Any), PaO2-FiO2","Anesthetic",50
"NCT04341935","https://ClinicalTrials.gov/show/NCT04341935",NA,"United States","Florida","2020-Apr","2020-Dec","Not Recruiting","Randomised","Open-Label",2,NA,"Outpatient, Unclear","IL-6, Glucose, SpO2","DPP-4i, SOC",20
"NCT04377672","https://ClinicalTrials.gov/show/NCT04377672",NA,"United States","Maryland","2020-May","2021-May","Recruiting","Single-Arm","Open-Label",1,"Confirmed Or Healthy","Healthy Exposed, Unclear","Adverse Events, Antibodies","Plasma based therapy",30
"NCT04383548","https://ClinicalTrials.gov/show/NCT04383548",NA,"Egypt","Asyut","2020-May","2020-Dec","Not Recruiting","Single-Arm","Open-Label",1,"Confirmed, Healthy","Healthy Exposed, Unclear","Adverse Events, IgG, IgM or IgA","Igs",100
"NCT04389385","https://ClinicalTrials.gov/show/NCT04389385",NA,"Turkey","Kayseri","2020-May","2020-Sep","Not Recruiting","Single-Arm","Open-Label",1,"Confirmed","Unclear",NA,"Other",60
"NCT04380376","https://ClinicalTrials.gov/show/NCT04380376",NA,"Russia","Moscow","2020-May","2020-Oct","Recruiting","Non-Randomised","Single",2,"Confirmed Or Suspected","Unclear","C-Reactive Protein, IL-6, Lymphocyte Count, D-Dimer","Chemotherapy, SOC",60
"PACTR202005622389003","https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=11053",NA,"Senegal","Dakar","2020-May",NA,"Not Recruiting","Randomised","Unspecified",3,"Confirmed","Unclear","Viral Load or Clearance","HCQ + AZT, Zinc",384
"NCT04384380","https://ClinicalTrials.gov/show/NCT04384380",NA,"Taiwan","Taoyuan","2020-May","2020-Jun","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Adverse Events, Radiographic Findings","HCQ, SOC",45
"NCT04385199","https://ClinicalTrials.gov/show/NCT04385199",NA,"United States","Michigan","2020-May","2020-Aug","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","ICU Admission, Radiographic Findings","Plasma based therapy, SOC",30
"CHICTR2000030892","http://www.chictr.org.cn/showproj.aspx?proj=51118",NA,"China","Guangdong","2020-Mar","2020-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Hospitalization, Hospital Discharge, Treatment-emergent Adverse Events, Radiographic Findings","Other, SOC",40
"NCT04425707","https://ClinicalTrials.gov/show/NCT04425707",NA,"Egypt","Cairo","2020-Jun","2020-Jul","Recruiting","Randomised","Open-Label",3,"Confirmed","Unclear","Viral Load or Clearance","Ivermectin, SOC",100
"NCT04409509","https://ClinicalTrials.gov/show/NCT04409509",NA,"United States","New Jersey","2020-Jun","2020-Dec","Recruiting","Randomised","Quadruple",2,"Confirmed","Unclear","Mortality, Hospitalization, Invasive Mechanical Ventilation or ECMO, Organ Failure or Dysfunction (SOFA), Serious Adverse Events, Antibodies","mAb, SOC",124
"CHICTR2000031139","http://www.chictr.org.cn/showproj.aspx?proj=51404",NA,"China","Hubei","2020-Mar","2021-Mar","Recruiting","Single-Arm","Unspecified",1,"Confirmed","Unclear","Pneumonia or ARDS, Radiographic Findings, Quality of Life, Depression, Anxiety, Distress","Stem cells",20
"NCT04325893","https://ClinicalTrials.gov/show/NCT04325893",NA,"France","Paris","2020-Mar","2020-Sep","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, C-Reactive Protein, IL-6, CK-MB, Procalcitonin, Radiographic Findings","HCQ, SOC",1300
"NCT04325893","https://ClinicalTrials.gov/show/NCT04325893",NA,"France","Cher","2020-Mar","2020-Sep","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, C-Reactive Protein, IL-6, CK-MB, Procalcitonin, Radiographic Findings","HCQ, SOC",1300
"NCT04325893","https://ClinicalTrials.gov/show/NCT04325893",NA,"Monaco","Monaco","2020-Mar","2020-Sep","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, ICU Admission, Viral Load or Clearance, Invasive Mechanical Ventilation or ECMO, Fever, Adverse Events, Treatment-emergent Adverse Events, Serious Adverse Events, C-Reactive Protein, IL-6, CK-MB, Procalcitonin, Radiographic Findings","HCQ, SOC",1300
"NCT04406064","https://clinicaltrials.gov/show/NCT04406064",NA,"United States","Washington, Dc","2020-May",NA,"Not Recruiting","Single-Arm","Open-Label",1,"Confirmed","Unclear",NA,"Other",100
"CHICTR2000030117","http://www.chictr.org.cn/showproj.aspx?proj=49762",NA,"China","Beijing","2020-Feb","2021-Dec","Recruiting","Randomised","Open-Label",2,"Confirmed","Unclear","Viral Load or Clearance, Fever","LPV/r + IFN, TCM",348
"CTRI/2020/04/024904","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=43130",NA,"India","New Delhi","2020-Apr",NA,"Not Recruiting","Randomised","Unspecified",3,"Confirmed","Unclear","Mortality, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO","HCQ, HCQ + AZT",300
"NCT04412486","https://ClinicalTrials.gov/show/NCT04412486",NA,"United States","Mississippi","2020-Jun","2022-May","Recruiting","Single-Arm","Open-Label",1,"Confirmed","Unclear","ICU Admission, Hospitalization, Organ Failure or Dysfunction (SOFA), IgG, IgM or IgA, PaO2-FiO2, Respiratory Rate","Plasma based therapy",100
"NCT04273529","https://ClinicalTrials.gov/show/NCT04273529",NA,"China","Zhejiang","2020-Feb","2020-May","Not Recruiting","Randomised","Quadruple",2,"Confirmed","Unclear","Mortality, Clinical Improvement Score (Any), Viral Load or Clearance, Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Cough, Fever, Dyspnea, Serious Adverse Events, IL-1, IL-2, IL-6, IL-7, IL-8, IL-10, Tumor Necrosis Factor (Any), Granulocyte Stimulaiting Factor, IP-10, MCP-1, PaO2-FiO2, Respiratory Rate","Immunomodulators, SOC",100
"NCT04399798","https://ClinicalTrials.gov/show/NCT04399798",NA,"Italy","Pavia","2020-May","2020-Sep","Not Recruiting","Single-Arm","Open-Label",1,"Confirmed","Unclear","Mortality, ICU Admission, Hospitalization, Viral Load or Clearance, Labor Absenteeism, Adverse Events, IL-2, IL-6, IL-8, IL-10, IL-17, Tumor Necrosis Factor (Any), Interferon (Any), PaO2-FiO2, SpO2","JAKi",13
"NCT04425772","https://ClinicalTrials.gov/show/NCT04425772",NA,"China","Beijing","2020-Jun","2020-Aug","Not Recruiting","Randomised","Quadruple",2,"Confirmed","Unclear","Viral Load or Clearance, Non-invasive Ventilation, Cough, Other Mild Symptoms, Adverse Events, Radiographic Findings","Antivirals, SOC",342
"CHICTR2000030484","http://www.chictr.org.cn/showproj.aspx?proj=50263",NA,"China","Hubei","2020-Mar","2021-Jan","Not Recruiting","Randomised","Unspecified",3,"Confirmed","Unclear","Non-invasive Ventilation, Invasive Mechanical Ventilation or ECMO, Cough, Dyspnea, Serious Adverse Events, C-Reactive Protein, PaO2-FiO2, Radiographic Findings","SOC, Stem cells",90
"CTRI/2020/04/024882","http://www.ctri.nic.in/Clinicaltrials/pmaindet2.php?trialid=42899",NA,"India","Haryana","2020-Apr",NA,"Not Recruiting","Non-Randomised","Unspecified",2,"Confirmed","Unclear","Hospital Discharge","Alternative therapy, SOC",60
"NCT04376788","https://ClinicalTrials.gov/show/NCT04376788",NA,"Egypt","Cairo","2020-May","2020-Jul","Recruiting","Randomised","Open-Label",3,"Confirmed","Unclear",NA,"Plasma based therapy, Plasma based therapy + Other, SOC",15
"NCT04427501","https://ClinicalTrials.gov/show/NCT04427501",NA,"United States","Arizona","2020-Jun","2020-Aug","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance","mAB, SOC",400
"NCT04427501","https://ClinicalTrials.gov/show/NCT04427501",NA,"United States","California","2020-Jun","2020-Aug","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance","mAB, SOC",400
"NCT04427501","https://ClinicalTrials.gov/show/NCT04427501",NA,"United States","District Of Columbia","2020-Jun","2020-Aug","Recruiting","Randomised","Double",2,"Confirmed","Unclear","Mortality, Hospitalization, Visits or Returns to Emergency Department, Viral Load or Clearance","mAB, SOC",400
